resolved_domain,text,created_at,author_id,twtid
chroniclesmagazine.org,1,1,1,1
childrensdefence.org,1,1,1,1
childrenhealthdefense.org,1,1,1,1
childrenhealthdefence.org,1,1,1,1
childrendefence.org,1,1,1,1
children.top,1,1,1,1
chicagotribune.com,1,1,1,1
chicagohan.org,1,1,1,1
chd.org,1,1,1,1
chaudiere.ca,1,1,1,1
challenges.fr,1,1,1,1
cfvsa.org,1,1,1,1
cell.com,1,1,1,1
celebritiesdeaths.com,1,1,1,1
cincinnati.com,1,1,1,1
citizen.org,1,1,1,1
citizensadvice.org.uk,1,1,1,1
consumidoresorganicos.org,1,1,1,1
confirmedsource.com,1,1,1,1
comilva.org,1,1,1,1
coloradosun.com,1,1,1,1
coletividade-evolutiva.com.br,1,1,1,1
cochranelibrary.com,1,1,1,1
citizensjournal.us,1,1,1,1
cochrane.org,1,1,1,1
coagulation.il,1,1,1,1
cnn.co.jp,1,1,1,1
clubderklarenworte.de,1,1,1,1
clinicaltrial.gov,1,1,1,1
clearnfo.com,1,1,1,1
citynews.ca,1,1,1,1
cdx.gov,1,1,1,1
cdv.gov,1,1,1,1
blogspot.net,1,1,1,1
bnonews.com,1,1,1,1
blueanon.news,1,1,1,1
blinker.co.il,1,1,1,1
burgersdemocratie.nl,1,1,1,1
blackjunction.com,1,1,1,1
biz-journal.jp,1,1,1,1
bitchute.rocks,1,1,1,1
biometricupdate.com,1,1,1,1
biliyoruz.abc,1,1,1,1
bild.de,1,1,1,1
bunshun.jp,1,1,1,1
cardiometabolichealth.org,1,1,1,1
cause.do,1,1,1,1
catholic-factchecking.com,1,1,1,1
cas.st,1,1,1,1
carrd.co,1,1,1,1
carenet.com,1,1,1,1
capitalhill.org,1,1,1,1
buymeacoffee.com,1,1,1,1
canund.com,1,1,1,1
candidlyspeaking.net,1,1,1,1
c19vitamind.com,1,1,1,1
c19regn.com,1,1,1,1
c19hcq.com,1,1,1,1
c.data,1,1,1,1
bzbasel.ch,1,1,1,1
godlikeproductions.com,1,1,1,1
puthiyathalaimurai.com,1,1,1,1
nbcsports.com,1,1,1,1
nbcboston.com,1,1,1,1
nbc25news.com,1,1,1,1
nbc12.com,1,1,1,1
naver.com,1,1,1,1
nationwidechildrens.org,1,1,1,1
nationalpost.com,1,1,1,1
nap.edu,1,1,1,1
